@RELATION GarciaMarquezTweets
@ATTRIBUTE Twitter-0 real
@ATTRIBUTE Twitter-1 real
@ATTRIBUTE Twitter-2 real
@ATTRIBUTE Twitter-3 real
@ATTRIBUTE Twitter-4 real
@ATTRIBUTE Twitter-5 real
@ATTRIBUTE Twitter-6 real
@ATTRIBUTE Twitter-7 real
@ATTRIBUTE Twitter-8 real
@ATTRIBUTE Twitter-9 real
@ATTRIBUTE Twitter-10 real
@ATTRIBUTE Twitter-11 real
@ATTRIBUTE Twitter-12 real
@ATTRIBUTE Twitter-13 real
@ATTRIBUTE Twitter-14 real
@ATTRIBUTE Twitter-15 real
@ATTRIBUTE Twitter-16 real
@ATTRIBUTE Twitter-17 real
@ATTRIBUTE Twitter-18 real
@ATTRIBUTE Twitter-19 real
@ATTRIBUTE Twitter-20 real
@ATTRIBUTE Twitter-21 real
@ATTRIBUTE Twitter-22 real
@ATTRIBUTE Twitter-23 real
@ATTRIBUTE Twitter-24 real
@ATTRIBUTE Twitter-25 real
@ATTRIBUTE Twitter-26 real
@ATTRIBUTE Twitter-27 real
@ATTRIBUTE Twitter-28 real
@ATTRIBUTE Twitter-29 real
@ATTRIBUTE Twitter-30 real
@ATTRIBUTE Twitter-31 real
@ATTRIBUTE Twitter-32 real
@ATTRIBUTE Twitter-33 real
@ATTRIBUTE Twitter-34 real
@ATTRIBUTE Twitter-35 real
@ATTRIBUTE Twitter-36 real
@ATTRIBUTE Twitter-37 real
@ATTRIBUTE Twitter-38 real
@ATTRIBUTE Twitter-39 real
@ATTRIBUTE Twitter-40 real
@ATTRIBUTE Twitter-41 real
@ATTRIBUTE Twitter-42 real
@ATTRIBUTE Twitter-43 real
@ATTRIBUTE Twitter-44 real
@ATTRIBUTE Twitter-45 real
@ATTRIBUTE Twitter-46 real
@ATTRIBUTE Twitter-47 real
@ATTRIBUTE Twitter-48 real
@ATTRIBUTE Twitter-49 real
@ATTRIBUTE Twitter-50 real
@ATTRIBUTE Twitter-51 real
@ATTRIBUTE Twitter-52 real
@ATTRIBUTE Twitter-53 real
@ATTRIBUTE Twitter-54 real
@ATTRIBUTE Twitter-55 real
@ATTRIBUTE Twitter-56 real
@ATTRIBUTE Twitter-57 real
@ATTRIBUTE Twitter-58 real
@ATTRIBUTE Twitter-59 real
@ATTRIBUTE Twitter-60 real
@ATTRIBUTE Twitter-61 real
@ATTRIBUTE Twitter-62 real
@ATTRIBUTE Twitter-63 real
@ATTRIBUTE Twitter-64 real
@ATTRIBUTE Twitter-65 real
@ATTRIBUTE Twitter-66 real
@ATTRIBUTE Twitter-67 real
@ATTRIBUTE Twitter-68 real
@ATTRIBUTE Twitter-69 real
@ATTRIBUTE Twitter-70 real
@ATTRIBUTE Twitter-71 real
@ATTRIBUTE Twitter-72 real
@ATTRIBUTE Twitter-73 real
@ATTRIBUTE Twitter-74 real
@ATTRIBUTE Twitter-75 real
@ATTRIBUTE Twitter-76 real
@ATTRIBUTE Twitter-77 real
@ATTRIBUTE Twitter-78 real
@ATTRIBUTE Twitter-79 real
@ATTRIBUTE Twitter-80 real
@ATTRIBUTE Twitter-81 real
@ATTRIBUTE Twitter-82 real
@ATTRIBUTE Twitter-83 real
@ATTRIBUTE Twitter-84 real
@ATTRIBUTE Twitter-85 real
@ATTRIBUTE Twitter-86 real
@ATTRIBUTE Twitter-87 real
@ATTRIBUTE Twitter-88 real
@ATTRIBUTE Twitter-89 real
@ATTRIBUTE Twitter-90 real
@ATTRIBUTE Twitter-91 real
@ATTRIBUTE Twitter-92 real
@ATTRIBUTE Twitter-93 real
@ATTRIBUTE Twitter-94 real
@ATTRIBUTE Twitter-95 real
@ATTRIBUTE Twitter-96 real
@ATTRIBUTE Twitter-97 real
@ATTRIBUTE Twitter-98 real
@ATTRIBUTE Twitter-99 real
@DATA
0.139,0.294,0.084,0.084,0.084,0.160,0.000,0.000,0.092,0.000,1.000,0.000,0.000,0.139,0.000,0.000,0.000,0.092,0.000,0.000,0.000,0.296,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.084,0.072,0.000,0.088,0.000,0.000,0.088,0.084,0.105,0.105,0.084,0.098,0.088,0.088,0.105,0.105,0.092,0.092,0.000,0.084,0.000,0.000,0.092,0.084,0.080,0.263,0.000,0.000,0.084,0.072,0.092,0.000,0.092,0.000,0.072,0.277,0.160,0.098,0.105,0.000,0.084,0.000,0.098,0.124,0.124,0.000,0.098,0.000,0.092,0.098,0.000,0.000,0.000,0.098,0.000,0.000,0.072,0.000,0.098,0.000,0.098,0.105,0.000,0.000,0.000,0.000,0.000,0.105
0.000,0.000,0.123,0.123,0.123,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.129,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.136,0.000,0.144,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.154,0.154,0.123,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.123,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.129,0.123,0.000,0.136,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.144,0.000,0.136,0.144,0.000,0.000,0.204,0.000,0.000,0.000,0.000,0.492,0.000,0.000,0.144,0.000,0.167,0.000,0.123,0.000,0.000,0.154
0.158,0.112,0.000,0.763,0.000,0.183,0.158,0.095,0.105,0.095,0.000,0.129,1.000,0.158,0.112,0.100,0.120,0.000,0.120,0.112,0.000,0.085,0.129,0.158,0.129,0.000,0.100,0.000,0.000,0.105,0.129,0.105,0.095,0.082,0.120,0.000,0.095,0.100,0.000,0.095,0.000,0.000,0.000,0.112,0.100,0.100,0.120,0.120,0.000,0.105,0.158,0.000,0.120,0.000,0.000,0.095,0.091,0.000,0.095,0.000,0.000,0.082,0.000,0.112,0.105,0.158,0.082,0.000,0.183,0.112,0.120,0.112,0.095,0.000,0.112,0.141,0.141,0.100,0.000,0.316,0.000,0.000,0.316,0.100,0.000,0.112,0.141,0.141,0.082,0.095,0.112,0.129,0.000,0.120,0.000,0.112,0.000,0.158,0.224,0.000
0.500,0.177,0.151,0.151,0.151,0.577,0.250,0.151,0.333,0.151,0.139,0.000,0.158,1.000,0.177,0.158,0.378,0.167,0.378,0.177,0.000,0.267,0.204,0.500,0.204,0.000,0.158,0.000,0.000,0.333,0.204,0.167,0.302,0.258,0.189,0.158,0.151,0.316,0.158,0.302,0.189,0.189,0.151,0.354,0.316,0.316,0.378,0.378,0.167,0.333,0.250,0.151,0.189,0.000,0.167,0.302,0.433,0.158,0.151,0.000,0.151,0.258,0.167,0.177,0.333,0.250,0.258,0.000,0.577,0.354,0.567,0.177,0.302,0.000,0.354,0.447,0.447,0.158,0.177,0.500,0.167,0.177,0.500,0.316,0.000,0.354,0.224,0.224,0.258,0.000,0.354,0.204,0.177,0.378,0.000,0.177,0.000,0.250,0.177,0.189
0.177,0.125,0.000,0.000,0.000,0.204,0.177,0.107,0.118,0.213,0.000,0.000,0.112,0.177,1.000,0.112,0.134,0.000,0.134,0.125,0.000,0.094,0.144,0.177,0.144,0.000,0.112,0.000,0.000,0.118,0.144,0.118,0.107,0.091,0.134,0.000,0.107,0.112,0.000,0.107,0.000,0.000,0.000,0.125,0.112,0.112,0.134,0.134,0.000,0.118,0.177,0.000,0.134,0.000,0.000,0.107,0.102,0.000,0.107,0.000,0.000,0.091,0.000,0.125,0.118,0.177,0.091,0.000,0.204,0.125,0.134,0.125,0.107,0.000,0.125,0.158,0.158,0.112,0.000,0.354,0.000,0.000,0.354,0.112,0.000,0.125,0.158,0.158,0.091,0.000,0.125,0.144,0.000,0.134,0.000,0.125,0.000,0.177,0.125,0.000
0.158,0.112,0.000,0.000,0.000,0.183,0.158,0.095,0.105,0.095,0.000,0.000,0.100,0.158,0.112,1.000,0.120,0.000,0.120,0.112,0.000,0.085,0.129,0.158,0.258,0.000,0.100,0.000,0.000,0.105,0.129,0.105,0.095,0.082,0.120,0.000,0.095,0.100,0.000,0.095,0.000,0.000,0.000,0.112,0.100,0.100,0.120,0.120,0.000,0.105,0.158,0.000,0.120,0.000,0.000,0.095,0.091,0.000,0.095,0.000,0.000,0.082,0.000,0.112,0.105,0.158,0.082,0.000,0.183,0.112,0.120,0.112,0.095,0.000,0.112,0.141,0.141,0.100,0.000,0.316,0.000,0.000,0.316,0.100,0.000,0.112,0.141,0.141,0.082,0.000,0.112,0.129,0.000,0.120,0.000,0.112,0.000,0.158,0.112,0.000
0.189,0.134,0.000,0.000,0.000,0.218,0.189,0.228,0.126,0.114,0.000,0.000,0.120,0.378,0.134,0.120,1.000,0.000,0.286,0.134,0.000,0.101,0.154,0.189,0.154,0.000,0.120,0.000,0.000,0.126,0.154,0.126,0.114,0.098,0.143,0.000,0.114,0.239,0.000,0.114,0.000,0.000,0.000,0.134,0.120,0.120,0.143,0.143,0.000,0.126,0.189,0.000,0.143,0.000,0.000,0.114,0.218,0.000,0.114,0.000,0.000,0.098,0.000,0.134,0.126,0.189,0.098,0.000,0.218,0.134,0.286,0.134,0.114,0.000,0.134,0.169,0.169,0.120,0.000,0.378,0.000,0.000,0.378,0.239,0.000,0.267,0.169,0.169,0.098,0.000,0.134,0.309,0.000,0.143,0.000,0.267,0.000,0.189,0.134,0.000
0.167,0.000,0.201,0.101,0.201,0.192,0.000,0.000,0.111,0.000,0.092,0.136,0.000,0.167,0.000,0.000,0.000,1.000,0.000,0.000,0.118,0.089,0.272,0.167,0.000,0.111,0.000,0.118,0.136,0.111,0.000,0.000,0.101,0.086,0.000,0.211,0.000,0.000,0.105,0.101,0.252,0.252,0.201,0.118,0.105,0.105,0.252,0.126,0.222,0.111,0.000,0.201,0.000,0.000,0.222,0.101,0.096,0.105,0.000,0.105,0.201,0.086,0.222,0.000,0.111,0.000,0.086,0.111,0.192,0.118,0.126,0.000,0.101,0.444,0.118,0.149,0.149,0.000,0.236,0.000,0.222,0.236,0.000,0.000,0.167,0.118,0.000,0.000,0.086,0.101,0.118,0.000,0.236,0.126,0.544,0.000,0.101,0.000,0.000,0.252
0.189,0.134,0.000,0.000,0.000,0.218,0.189,0.114,0.126,0.114,0.000,0.000,0.120,0.378,0.134,0.120,0.286,0.000,1.000,0.134,0.000,0.101,0.309,0.189,0.154,0.000,0.120,0.000,0.000,0.126,0.154,0.126,0.114,0.098,0.143,0.000,0.114,0.239,0.000,0.114,0.000,0.000,0.000,0.134,0.120,0.120,0.143,0.143,0.000,0.126,0.189,0.000,0.143,0.000,0.000,0.114,0.655,0.000,0.114,0.000,0.000,0.098,0.000,0.134,0.126,0.189,0.098,0.000,0.218,0.134,0.286,0.134,0.114,0.000,0.134,0.169,0.169,0.120,0.000,0.378,0.000,0.267,0.378,0.239,0.000,0.134,0.169,0.169,0.098,0.000,0.134,0.154,0.267,0.143,0.000,0.134,0.000,0.189,0.134,0.000
0.177,0.125,0.000,0.000,0.000,0.204,0.177,0.107,0.118,0.107,0.000,0.000,0.112,0.177,0.125,0.112,0.134,0.000,0.134,1.000,0.000,0.094,0.144,0.177,0.144,0.000,0.112,0.125,0.000,0.118,0.144,0.118,0.107,0.091,0.134,0.000,0.107,0.112,0.000,0.107,0.000,0.000,0.000,0.125,0.112,0.112,0.134,0.134,0.000,0.118,0.177,0.000,0.134,0.000,0.000,0.107,0.102,0.000,0.107,0.000,0.000,0.091,0.000,0.125,0.118,0.177,0.091,0.000,0.204,0.125,0.134,0.250,0.107,0.000,0.125,0.158,0.158,0.112,0.000,0.354,0.000,0.000,0.354,0.112,0.000,0.125,0.158,0.158,0.091,0.000,0.125,0.144,0.000,0.134,0.000,0.125,0.000,0.177,0.125,0.000
0.000,0.000,0.107,0.000,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.118,0.000,0.125,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.134,0.134,0.107,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.107,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.112,0.107,0.000,0.118,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.125,0.000,0.118,0.125,0.000,0.000,0.177,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.125,0.000,0.144,0.000,0.107,0.000,0.000,0.134
0.267,0.378,0.081,0.081,0.081,0.309,0.134,0.081,0.178,0.081,0.296,0.000,0.085,0.267,0.094,0.085,0.101,0.089,0.101,0.094,0.000,1.000,0.109,0.267,0.109,0.000,0.085,0.000,0.000,0.178,0.109,0.089,0.161,0.138,0.101,0.169,0.081,0.085,0.085,0.161,0.101,0.101,0.081,0.189,0.254,0.169,0.202,0.202,0.089,0.178,0.134,0.081,0.101,0.000,0.089,0.161,0.154,0.254,0.081,0.000,0.081,0.138,0.089,0.094,0.178,0.134,0.138,0.267,0.309,0.189,0.202,0.189,0.161,0.000,0.189,0.239,0.239,0.085,0.094,0.267,0.089,0.094,0.267,0.085,0.000,0.189,0.120,0.120,0.138,0.000,0.189,0.109,0.094,0.202,0.000,0.094,0.000,0.134,0.094,0.101
0.204,0.144,0.000,0.000,0.000,0.236,0.204,0.123,0.136,0.123,0.000,0.000,0.129,0.204,0.144,0.129,0.154,0.272,0.309,0.144,0.000,0.109,1.000,0.204,0.167,0.000,0.129,0.000,0.000,0.136,0.167,0.136,0.123,0.105,0.154,0.000,0.123,0.129,0.000,0.123,0.000,0.000,0.000,0.144,0.129,0.129,0.309,0.154,0.000,0.136,0.204,0.000,0.154,0.000,0.000,0.123,0.118,0.000,0.123,0.000,0.000,0.105,0.000,0.144,0.136,0.204,0.105,0.000,0.236,0.144,0.154,0.144,0.123,0.272,0.144,0.183,0.183,0.129,0.000,0.408,0.000,0.000,0.408,0.129,0.000,0.144,0.183,0.183,0.105,0.000,0.144,0.167,0.000,0.154,0.333,0.144,0.000,0.204,0.144,0.000
0.500,0.177,0.151,0.151,0.151,0.577,0.250,0.151,0.333,0.151,0.139,0.000,0.158,0.500,0.177,0.158,0.189,0.167,0.189,0.177,0.000,0.267,0.204,1.000,0.204,0.000,0.158,0.000,0.000,0.333,0.204,0.167,0.302,0.258,0.189,0.158,0.151,0.158,0.158,0.302,0.189,0.189,0.151,0.354,0.316,0.316,0.378,0.378,0.167,0.333,0.250,0.151,0.189,0.000,0.167,0.302,0.289,0.158,0.151,0.000,0.151,0.258,0.167,0.177,0.333,0.250,0.258,0.000,0.577,0.354,0.378,0.177,0.302,0.000,0.354,0.447,0.447,0.158,0.177,0.500,0.167,0.177,0.500,0.158,0.000,0.354,0.224,0.224,0.258,0.000,0.354,0.204,0.177,0.378,0.000,0.177,0.000,0.250,0.177,0.189
0.204,0.144,0.000,0.000,0.000,0.236,0.204,0.123,0.136,0.123,0.000,0.000,0.129,0.204,0.144,0.258,0.154,0.000,0.154,0.144,0.000,0.109,0.167,0.204,1.000,0.000,0.129,0.000,0.000,0.136,0.167,0.136,0.123,0.105,0.154,0.000,0.123,0.129,0.000,0.123,0.000,0.000,0.000,0.144,0.129,0.129,0.154,0.154,0.000,0.136,0.204,0.000,0.154,0.000,0.000,0.123,0.118,0.000,0.123,0.000,0.000,0.105,0.000,0.144,0.136,0.204,0.105,0.000,0.236,0.144,0.154,0.144,0.123,0.000,0.144,0.183,0.183,0.129,0.000,0.408,0.000,0.000,0.408,0.129,0.000,0.144,0.183,0.183,0.105,0.000,0.144,0.167,0.000,0.154,0.000,0.144,0.000,0.204,0.144,0.000
