@RELATION GarciaMarquezTweets
@ATTRIBUTE Twitter-0 real
@ATTRIBUTE Twitter-1 real
@ATTRIBUTE Twitter-2 real
@ATTRIBUTE Twitter-3 real
@ATTRIBUTE Twitter-4 real
@ATTRIBUTE Twitter-5 real
@ATTRIBUTE Twitter-6 real
@ATTRIBUTE Twitter-7 real
@ATTRIBUTE Twitter-8 real
@ATTRIBUTE Twitter-9 real
@ATTRIBUTE Twitter-10 real
@ATTRIBUTE Twitter-11 real
@ATTRIBUTE Twitter-12 real
@ATTRIBUTE Twitter-13 real
@ATTRIBUTE Twitter-14 real
@ATTRIBUTE Twitter-15 real
@ATTRIBUTE Twitter-16 real
@ATTRIBUTE Twitter-17 real
@ATTRIBUTE Twitter-18 real
@ATTRIBUTE Twitter-19 real
@ATTRIBUTE Twitter-20 real
@ATTRIBUTE Twitter-21 real
@ATTRIBUTE Twitter-22 real
@ATTRIBUTE Twitter-23 real
@ATTRIBUTE Twitter-24 real
@ATTRIBUTE Twitter-25 real
@ATTRIBUTE Twitter-26 real
@ATTRIBUTE Twitter-27 real
@ATTRIBUTE Twitter-28 real
@ATTRIBUTE Twitter-29 real
@ATTRIBUTE Twitter-30 real
@ATTRIBUTE Twitter-31 real
@ATTRIBUTE Twitter-32 real
@ATTRIBUTE Twitter-33 real
@ATTRIBUTE Twitter-34 real
@ATTRIBUTE Twitter-35 real
@ATTRIBUTE Twitter-36 real
@ATTRIBUTE Twitter-37 real
@ATTRIBUTE Twitter-38 real
@ATTRIBUTE Twitter-39 real
@ATTRIBUTE Twitter-40 real
@ATTRIBUTE Twitter-41 real
@ATTRIBUTE Twitter-42 real
@ATTRIBUTE Twitter-43 real
@ATTRIBUTE Twitter-44 real
@ATTRIBUTE Twitter-45 real
@ATTRIBUTE Twitter-46 real
@ATTRIBUTE Twitter-47 real
@ATTRIBUTE Twitter-48 real
@ATTRIBUTE Twitter-49 real
@ATTRIBUTE Twitter-50 real
@ATTRIBUTE Twitter-51 real
@ATTRIBUTE Twitter-52 real
@ATTRIBUTE Twitter-53 real
@ATTRIBUTE Twitter-54 real
@ATTRIBUTE Twitter-55 real
@ATTRIBUTE Twitter-56 real
@ATTRIBUTE Twitter-57 real
@ATTRIBUTE Twitter-58 real
@ATTRIBUTE Twitter-59 real
@ATTRIBUTE Twitter-60 real
@ATTRIBUTE Twitter-61 real
@ATTRIBUTE Twitter-62 real
@ATTRIBUTE Twitter-63 real
@ATTRIBUTE Twitter-64 real
@ATTRIBUTE Twitter-65 real
@ATTRIBUTE Twitter-66 real
@ATTRIBUTE Twitter-67 real
@ATTRIBUTE Twitter-68 real
@ATTRIBUTE Twitter-69 real
@ATTRIBUTE Twitter-70 real
@ATTRIBUTE Twitter-71 real
@ATTRIBUTE Twitter-72 real
@ATTRIBUTE Twitter-73 real
@ATTRIBUTE Twitter-74 real
@ATTRIBUTE Twitter-75 real
@ATTRIBUTE Twitter-76 real
@ATTRIBUTE Twitter-77 real
@ATTRIBUTE Twitter-78 real
@ATTRIBUTE Twitter-79 real
@ATTRIBUTE Twitter-80 real
@ATTRIBUTE Twitter-81 real
@ATTRIBUTE Twitter-82 real
@ATTRIBUTE Twitter-83 real
@ATTRIBUTE Twitter-84 real
@ATTRIBUTE Twitter-85 real
@ATTRIBUTE Twitter-86 real
@ATTRIBUTE Twitter-87 real
@ATTRIBUTE Twitter-88 real
@ATTRIBUTE Twitter-89 real
@ATTRIBUTE Twitter-90 real
@ATTRIBUTE Twitter-91 real
@ATTRIBUTE Twitter-92 real
@ATTRIBUTE Twitter-93 real
@ATTRIBUTE Twitter-94 real
@ATTRIBUTE Twitter-95 real
@ATTRIBUTE Twitter-96 real
@ATTRIBUTE Twitter-97 real
@ATTRIBUTE Twitter-98 real
@ATTRIBUTE Twitter-99 real
@DATA
0.000,0.236,0.905,0.000,0.101,0.000,0.000,0.101,0.333,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.118,0.000,0.000,0.000,0.000,1.000,0.105,0.118,0.136,0.000,0.000,0.000,0.000,0.000,0.378,0.211,0.101,0.000,0.105,0.000,0.126,0.126,0.101,0.000,0.000,0.000,0.000,0.000,0.111,0.333,0.000,0.101,0.000,0.118,0.444,0.101,0.000,0.105,0.000,0.105,0.101,0.000,0.444,0.118,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.118,0.000,0.111,0.000,0.000,0.149,0.000,0.118,0.000,0.111,0.118,0.000,0.105,0.167,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.118,0.000,0.136,0.000,0.101,0.000,0.000,0.252
0.158,0.112,0.095,0.000,0.000,0.183,0.158,0.191,0.211,0.095,0.000,0.000,0.100,0.158,0.112,0.100,0.120,0.000,0.120,0.112,0.000,0.085,0.129,0.158,0.129,0.105,1.000,0.000,0.000,0.105,0.129,0.105,0.095,0.082,0.239,0.100,0.191,0.100,0.200,0.095,0.000,0.000,0.000,0.112,0.100,0.100,0.120,0.120,0.000,0.211,0.158,0.000,0.120,0.224,0.316,0.191,0.091,0.100,0.095,0.000,0.000,0.082,0.105,0.224,0.105,0.158,0.082,0.105,0.183,0.112,0.120,0.224,0.095,0.000,0.112,0.141,0.283,0.100,0.000,0.316,0.000,0.000,0.316,0.200,0.000,0.112,0.141,0.141,0.082,0.000,0.112,0.129,0.000,0.120,0.000,0.112,0.000,0.158,0.112,0.120
0.000,0.000,0.107,0.000,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.118,0.000,1.000,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.134,0.134,0.107,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.107,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.112,0.107,0.000,0.118,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.125,0.000,0.118,0.000,0.000,0.000,0.000,0.125,0.000,0.118,0.125,0.000,0.000,0.177,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.125,0.000,0.144,0.000,0.107,0.000,0.000,0.134
0.000,0.000,0.123,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.136,0.000,0.144,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.154,0.154,0.123,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.123,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.129,0.123,0.000,0.136,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.144,0.000,0.136,0.144,0.000,0.000,0.204,0.000,0.000,0.000,0.000,0.123,0.000,0.000,0.144,0.000,0.167,0.000,0.246,0.000,0.000,0.154
0.333,0.118,0.101,0.101,0.101,0.385,0.167,0.101,0.222,0.101,0.092,0.000,0.105,0.333,0.118,0.105,0.126,0.111,0.126,0.118,0.000,0.178,0.136,0.333,0.136,0.000,0.105,0.000,0.000,1.000,0.136,0.111,0.201,0.172,0.126,0.105,0.101,0.105,0.105,0.302,0.126,0.126,0.101,0.236,0.211,0.211,0.252,0.252,0.111,0.222,0.167,0.101,0.126,0.000,0.111,0.201,0.192,0.105,0.101,0.000,0.101,0.172,0.111,0.118,0.222,0.167,0.172,0.000,0.385,0.236,0.252,0.118,0.302,0.000,0.236,0.298,0.298,0.105,0.118,0.333,0.111,0.118,0.333,0.105,0.000,0.236,0.149,0.149,0.172,0.000,0.354,0.136,0.118,0.252,0.000,0.118,0.000,0.167,0.118,0.126
0.204,0.144,0.000,0.000,0.123,0.236,0.204,0.123,0.136,0.123,0.000,0.000,0.129,0.204,0.144,0.129,0.154,0.000,0.154,0.144,0.000,0.109,0.167,0.204,0.167,0.000,0.129,0.000,0.000,0.136,1.000,0.136,0.123,0.105,0.154,0.000,0.123,0.129,0.000,0.246,0.000,0.000,0.123,0.144,0.129,0.129,0.154,0.154,0.000,0.136,0.204,0.123,0.154,0.000,0.000,0.123,0.118,0.000,0.123,0.000,0.123,0.105,0.000,0.144,0.136,0.204,0.105,0.000,0.236,0.144,0.154,0.144,0.246,0.000,0.144,0.183,0.183,0.129,0.000,0.408,0.000,0.000,0.408,0.129,0.000,0.144,0.183,0.183,0.105,0.123,0.289,0.167,0.000,0.154,0.000,0.289,0.000,0.204,0.144,0.000
0.167,0.118,0.000,0.000,0.000,0.192,0.167,0.101,0.111,0.101,0.000,0.000,0.105,0.167,0.118,0.105,0.126,0.000,0.126,0.118,0.000,0.089,0.136,0.167,0.136,0.000,0.105,0.000,0.000,0.111,0.136,1.000,0.101,0.086,0.126,0.000,0.101,0.105,0.000,0.101,0.000,0.000,0.000,0.118,0.105,0.105,0.126,0.126,0.000,0.111,0.167,0.000,0.126,0.000,0.000,0.101,0.096,0.000,0.101,0.000,0.000,0.086,0.000,0.118,0.111,0.167,0.086,0.000,0.192,0.118,0.126,0.118,0.101,0.000,0.118,0.149,0.149,0.105,0.000,0.333,0.000,0.000,0.333,0.105,0.000,0.118,0.149,0.149,0.086,0.000,0.118,0.136,0.000,0.126,0.000,0.118,0.000,0.167,0.118,0.000
0.302,0.107,0.091,0.091,0.091,0.348,0.151,0.091,0.201,0.091,0.084,0.000,0.095,0.302,0.107,0.095,0.114,0.101,0.114,0.107,0.000,0.161,0.123,0.302,0.123,0.000,0.095,0.000,0.000,0.201,0.123,0.101,1.000,0.156,0.114,0.095,0.091,0.095,0.095,0.182,0.228,0.228,0.091,0.213,0.191,0.191,0.228,0.228,0.101,0.201,0.151,0.091,0.114,0.000,0.101,0.182,0.174,0.191,0.091,0.000,0.091,0.156,0.101,0.107,0.201,0.151,0.156,0.000,0.348,0.213,0.228,0.107,0.182,0.000,0.213,0.270,0.270,0.095,0.107,0.302,0.101,0.107,0.302,0.095,0.000,0.213,0.135,0.135,0.156,0.000,0.213,0.123,0.107,0.228,0.000,0.107,0.000,0.151,0.107,0.114
0.258,0.091,0.078,0.078,0.156,0.298,0.129,0.078,0.172,0.078,0.072,0.000,0.082,0.258,0.091,0.082,0.098,0.086,0.098,0.091,0.000,0.138,0.105,0.258,0.105,0.000,0.082,0.000,0.000,0.172,0.105,0.086,0.156,1.000,0.098,0.082,0.078,0.082,0.082,0.156,0.098,0.098,0.156,0.183,0.163,0.163,0.195,0.195,0.172,0.172,0.129,0.156,0.098,0.000,0.086,0.156,0.149,0.082,0.078,0.000,0.156,1.000,0.086,0.091,0.172,0.129,1.000,0.000,0.298,0.183,0.195,0.091,0.156,0.000,0.183,0.231,0.231,0.082,0.091,0.258,0.086,0.091,0.258,0.082,0.000,0.183,0.115,0.115,1.000,0.000,0.183,0.105,0.091,0.195,0.000,0.091,0.000,0.129,0.091,0.098
0.189,0.401,0.342,0.000,0.000,0.218,0.189,0.228,0.882,0.114,0.000,0.000,0.120,0.189,0.134,0.120,0.143,0.000,0.143,0.134,0.000,0.101,0.154,0.189,0.154,0.378,0.239,0.000,0.000,0.126,0.154,0.126,0.114,0.098,1.000,0.120,0.228,0.120,0.120,0.114,0.000,0.000,0.000,0.134,0.120,0.120,0.143,0.143,0.000,0.504,0.189,0.000,0.143,0.134,0.378,0.228,0.109,0.120,0.114,0.000,0.000,0.098,0.378,0.267,0.126,0.189,0.098,0.126,0.218,0.134,0.143,0.267,0.114,0.000,0.134,0.169,0.338,0.120,0.000,0.378,0.000,0.000,0.378,0.239,0.000,0.134,0.169,0.169,0.098,0.000,0.134,0.154,0.000,0.143,0.000,0.134,0.000,0.378,0.134,0.143
0.158,0.000,0.286,0.095,0.191,0.183,0.000,0.095,0.211,0.000,0.088,0.129,0.000,0.158,0.000,0.000,0.000,0.211,0.000,0.000,0.112,0.169,0.000,0.158,0.000,0.211,0.100,0.112,0.129,0.105,0.000,0.000,0.095,0.082,0.120,1.000,0.095,0.000,0.200,0.095,0.239,0.359,0.191,0.112,0.200,0.100,0.120,0.239,0.211,0.211,0.000,0.191,0.000,0.112,0.316,0.191,0.183,0.300,0.000,0.100,0.191,0.082,0.316,0.224,0.105,0.000,0.082,0.316,0.183,0.112,0.120,0.224,0.095,0.105,0.112,0.141,0.424,0.000,0.224,0.000,0.211,0.335,0.000,0.100,0.158,0.112,0.000,0.000,0.082,0.095,0.112,0.000,0.335,0.120,0.129,0.000,0.191,0.158,0.000,0.478
0.151,0.107,0.091,0.000,0.000,0.174,0.151,0.182,0.201,0.091,0.000,0.000,0.095,0.151,0.107,0.095,0.114,0.000,0.114,0.107,0.000,0.081,0.123,0.151,0.123,0.101,0.191,0.000,0.000,0.101,0.123,0.101,0.091,0.078,0.228,0.095,1.000,0.095,0.095,0.091,0.000,0.000,0.000,0.107,0.095,0.095,0.114,0.114,0.000,0.201,0.151,0.000,0.114,0.107,0.101,0.182,0.087,0.095,0.091,0.000,0.000,0.078,0.101,0.213,0.101,0.151,0.078,0.101,0.174,0.107,0.114,0.213,0.091,0.000,0.107,0.135,0.270,0.095,0.000,0.302,0.000,0.000,0.302,0.191,0.000,0.107,0.135,0.135,0.078,0.000,0.107,0.123,0.000,0.114,0.000,0.107,0.000,0.151,0.107,0.114
0.158,0.112,0.000,0.000,0.000,0.183,0.158,0.095,0.105,0.095,0.000,0.000,0.100,0.316,0.112,0.100,0.239,0.000,0.239,0.112,0.000,0.085,0.129,0.158,0.129,0.000,0.100,0.000,0.000,0.105,0.129,0.105,0.095,0.082,0.120,0.000,0.095,1.000,0.000,0.095,0.000,0.120,0.000,0.112,0.100,0.200,0.120,0.120,0.000,0.105,0.158,0.000,0.120,0.000,0.000,0.095,0.183,0.000,0.095,0.000,0.000,0.082,0.000,0.112,0.105,0.158,0.082,0.000,0.183,0.112,0.239,0.112,0.095,0.000,0.112,0.141,0.141,0.100,0.000,0.316,0.000,0.000,0.316,0.200,0.000,0.112,0.141,0.141,0.082,0.000,0.112,0.129,0.000,0.120,0.000,0.112,0.000,0.158,0.112,0.000
0.158,0.000,0.191,0.095,0.095,0.183,0.000,0.095,0.211,0.000,0.088,0.000,0.000,0.158,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.085,0.000,0.158,0.000,0.105,0.200,0.000,0.000,0.105,0.000,0.000,0.095,0.082,0.120,0.200,0.095,0.000,1.000,0.095,0.120,0.120,0.095,0.112,0.100,0.100,0.120,0.120,0.105,0.211,0.000,0.095,0.000,0.894,0.211,0.191,0.091,0.200,0.000,0.000,0.095,0.082,0.211,0.112,0.105,0.000,0.082,0.105,0.183,0.112,0.120,0.112,0.095,0.000,0.112,0.141,0.283,0.000,0.112,0.000,0.105,0.112,0.000,0.100,0.000,0.112,0.000,0.000,0.082,0.000,0.112,0.000,0.112,0.120,0.000,0.000,0.000,0.000,0.000,0.239
0.302,0.107,0.091,0.091,0.091,0.348,0.151,0.091,0.201,0.091,0.084,0.000,0.095,0.302,0.107,0.095,0.114,0.101,0.114,0.107,0.000,0.161,0.123,0.302,0.123,0.000,0.095,0.000,0.000,0.302,0.246,0.101,0.182,0.156,0.114,0.095,0.091,0.095,0.095,1.000,0.114,0.114,0.091,0.213,0.191,0.191,0.228,0.342,0.101,0.201,0.302,0.091,0.114,0.000,0.101,0.182,0.174,0.095,0.091,0.000,0.091,0.156,0.101,0.107,0.201,0.151,0.156,0.000,0.348,0.213,0.228,0.107,1.000,0.000,0.213,0.270,0.270,0.095,0.107,0.302,0.101,0.107,0.302,0.095,0.000,0.320,0.135,0.135,0.156,0.000,0.533,0.246,0.107,0.228,0.000,0.107,0.000,0.151,0.107,0.114
0.189,0.000,0.228,0.114,0.228,0.218,0.000,0.000,0.126,0.000,0.105,0.154,0.000,0.189,0.000,0.000,0.000,0.252,0.000,0.000,0.134,0.101,0.000,0.189,0.000,0.126,0.000,0.134,0.154,0.126,0.000,0.000,0.228,0.098,0.000,0.239,0.000,0.000,0.120,0.114,1.000,0.429,0.228,0.134,0.120,0.120,0.143,0.143,0.252,0.126,0.000,0.228,0.000,0.000,0.252,0.114,0.109,0.239,0.000,0.120,0.228,0.098,0.252,0.000,0.126,0.000,0.098,0.126,0.218,0.134,0.143,0.000,0.114,0.126,0.134,0.169,0.169,0.000,0.267,0.000,0.252,0.267,0.000,0.000,0.189,0.134,0.000,0.000,0.098,0.114,0.134,0.000,0.267,0.143,0.154,0.000,0.114,0.000,0.000,0.286
0.189,0.000,0.228,0.114,0.228,0.218,0.000,0.000,0.126,0.000,0.105,0.154,0.000,0.189,0.000,0.000,0.000,0.252,0.000,0.000,0.134,0.101,0.000,0.189,0.000,0.126,0.000,0.134,0.154,0.126,0.000,0.000,0.228,0.098,0.000,0.359,0.000,0.120,0.120,0.114,0.429,1.000,0.228,0.134,0.120,0.239,0.143,0.143,0.252,0.126,0.000,0.228,0.000,0.000,0.252,0.114,0.218,0.359,0.000,0.120,0.228,0.098,0.252,0.000,0.126,0.000,0.098,0.252,0.218,0.134,0.286,0.000,0.114,0.126,0.134,0.169,0.338,0.000,0.267,0.000,0.252,0.401,0.000,0.000,0.189,0.134,0.000,0.000,0.098,0.114,0.134,0.000,0.401,0.143,0.154,0.000,0.114,0.189,0.000,0.286
0.151,0.000,0.182,0.091,1.000,0.174,0.000,0.000,0.101,0.000,0.084,0.123,0.000,0.151,0.000,0.000,0.000,0.201,0.000,0.000,0.107,0.081,0.000,0.151,0.000,0.101,0.000,0.107,0.123,0.101,0.123,0.000,0.091,0.156,0.000,0.191,0.000,0.000,0.095,0.091,0.228,0.228,1.000,0.107,0.095,0.095,0.114,0.114,0.201,0.101,0.000,1.000,0.000,0.000,0.201,0.091,0.087,0.095,0.000,0.095,1.000,0.156,0.201,0.000,0.101,0.000,0.156,0.101,0.174,0.107,0.114,0.000,0.091,0.101,0.107,0.135,0.135,0.000,0.213,0.000,0.201,0.213,0.000,0.000,0.151,0.107,0.000,0.000,0.156,0.091,0.107,0.000,0.213,0.114,0.123,0.000,0.091,0.000,0.000,0.228
0.354,0.125,0.107,0.107,0.107,0.408,0.177,0.107,0.236,0.107,0.098,0.000,0.112,0.354,0.125,0.112,0.134,0.118,0.134,0.125,0.000,0.189,0.144,0.354,0.144,0.000,0.112,0.000,0.000,0.236,0.144,0.118,0.213,0.183,0.134,0.112,0.107,0.112,0.112,0.213,0.134,0.134,0.107,1.000,0.224,0.224,0.267,0.267,0.118,0.236,0.177,0.107,0.134,0.000,0.118,0.213,0.204,0.112,0.107,0.000,0.107,0.183,0.118,0.125,0.236,0.177,0.183,0.000,0.408,0.250,0.267,0.125,0.213,0.000,0.250,0.316,0.316,0.112,0.125,0.354,0.118,0.125,0.354,0.112,0.000,0.250,0.158,0.158,0.183,0.000,0.250,0.144,0.125,0.267,0.000,0.125,0.000,0.177,0.125,0.134
0.316,0.112,0.095,0.095,0.095,0.365,0.158,0.095,0.211,0.095,0.088,0.000,0.100,0.316,0.112,0.100,0.120,0.105,0.120,0.112,0.000,0.254,0.129,0.316,0.129,0.000,0.100,0.000,0.000,0.211,0.129,0.105,0.191,0.163,0.120,0.200,0.095,0.100,0.100,0.191,0.120,0.120,0.095,0.224,1.000,0.200,0.239,0.239,0.105,0.316,0.158,0.095,0.120,0.000,0.105,0.191,0.183,0.100,0.095,0.000,0.095,0.163,0.105,0.112,0.211,0.158,0.163,0.000,0.365,0.224,0.239,0.112,0.191,0.000,0.224,0.283,0.283,0.100,0.112,0.316,0.105,0.112,0.316,0.100,0.000,0.224,0.141,0.141,0.163,0.000,0.224,0.129,0.112,0.239,0.000,0.112,0.000,0.158,0.112,0.120
0.316,0.112,0.095,0.095,0.095,0.365,0.158,0.095,0.211,0.095,0.088,0.000,0.100,0.316,0.112,0.100,0.120,0.105,0.120,0.112,0.000,0.169,0.129,0.316,0.129,0.000,0.100,0.000,0.000,0.211,0.129,0.105,0.191,0.163,0.120,0.100,0.095,0.200,0.100,0.191,0.120,0.239,0.095,0.224,0.200,1.000,0.239,0.239,0.105,0.211,0.158,0.095,0.120,0.000,0.105,0.191,0.183,0.100,0.095,0.000,0.095,0.163,0.105,0.112,0.211,0.158,0.163,0.000,0.365,0.335,0.239,0.224,0.191,0.000,0.224,0.283,0.283,0.100,0.112,0.316,0.105,0.112,0.316,0.100,0.000,0.224,0.141,0.141,0.163,0.000,0.224,0.129,0.112,0.239,0.000,0.112,0.000,0.158,0.112,0.120
0.378,0.134,0.114,0.114,0.114,0.436,0.189,0.114,0.252,0.114,0.105,0.000,0.120,0.378,0.134,0.120,0.143,0.252,0.143,0.134,0.000,0.202,0.309,0.378,0.154,0.000,0.120,0.000,0.000,0.252,0.154,0.126,0.228,0.195,0.143,0.120,0.114,0.120,0.120,0.228,0.143,0.143,0.114,0.267,0.239,0.239,1.000,0.286,0.126,0.252,0.189,0.114,0.143,0.000,0.126,0.228,0.218,0.120,0.114,0.000,0.114,0.195,0.126,0.134,0.252,0.189,0.195,0.000,0.436,0.267,0.286,0.134,0.228,0.126,0.267,0.338,0.338,0.120,0.134,0.378,0.126,0.134,0.378,0.120,0.000,0.267,0.169,0.169,0.195,0.000,0.267,0.154,0.134,0.286,0.154,0.134,0.000,0.189,0.134,0.143
0.378,0.134,0.114,0.114,0.114,0.436,0.189,0.114,0.252,0.114,0.105,0.000,0.120,0.378,0.134,0.120,0.143,0.126,0.143,0.134,0.000,0.202,0.154,0.378,0.154,0.000,0.120,0.000,0.000,0.252,0.154,0.126,0.228,0.195,0.143,0.239,0.114,0.120,0.120,0.342,0.143,0.143,0.114,0.267,0.239,0.239,0.286,1.000,0.126,0.252,0.189,0.114,0.143,0.000,0.126,0.228,0.218,0.120,0.114,0.000,0.114,0.195,0.126,0.134,0.252,0.189,0.195,0.000,0.436,0.267,0.286,0.134,0.342,0.000,0.267,0.338,0.338,0.120,0.134,0.378,0.126,0.134,0.378,0.120,0.000,0.267,0.169,0.169,0.195,0.000,0.267,0.154,0.134,0.286,0.000,0.134,0.114,0.189,0.134,0.286
0.167,0.000,0.201,0.101,0.201,0.192,0.000,0.000,0.111,0.000,0.092,0.136,0.000,0.167,0.000,0.000,0.000,0.222,0.000,0.000,0.118,0.089,0.000,0.167,0.000,0.111,0.000,0.118,0.136,0.111,0.000,0.000,0.101,0.172,0.000,0.211,0.000,0.000,0.105,0.101,0.252,0.252,0.201,0.118,0.105,0.105,0.126,0.126,1.000,0.111,0.000,0.201,0.000,0.000,0.222,0.101,0.096,0.105,0.000,0.105,0.201,0.172,0.222,0.000,0.111,0.000,0.172,0.111,0.192,0.118,0.126,0.000,0.101,0.111,0.118,0.149,0.149,0.000,0.354,0.000,0.222,0.236,0.000,0.000,0.167,0.118,0.000,0.000,0.172,0.101,0.118,0.000,0.236,0.126,0.136,0.000,0.101,0.000,0.000,0.252
0.333,0.354,0.402,0.101,0.101,0.385,0.167,0.201,0.556,0.101,0.092,0.000,0.105,0.333,0.118,0.105,0.126,0.111,0.126,0.118,0.000,0.178,0.136,0.333,0.136,0.333,0.211,0.000,0.000,0.222,0.136,0.111,0.201,0.172,0.504,0.211,0.201,0.105,0.211,0.201,0.126,0.126,0.101,0.236,0.316,0.211,0.252,0.252,0.111,1.000,0.167,0.101,0.126,0.118,0.444,0.302,0.192,0.211,0.101,0.000,0.101,0.172,0.444,0.236,0.222,0.167,0.172,0.111,0.385,0.236,0.378,0.236,0.201,0.000,0.236,0.298,0.447,0.105,0.118,0.333,0.111,0.118,0.333,0.211,0.167,0.236,0.149,0.149,0.172,0.000,0.236,0.136,0.118,0.252,0.000,0.118,0.000,0.167,0.118,0.252
0.250,0.177,0.000,0.000,0.000,0.289,0.250,0.151,0.167,0.151,0.000,0.000,0.158,0.250,0.177,0.158,0.189,0.000,0.189,0.177,0.000,0.134,0.204,0.250,0.204,0.000,0.158,0.000,0.000,0.167,0.204,0.167,0.151,0.129,0.189,0.000,0.151,0.158,0.000,0.302,0.000,0.000,0.000,0.177,0.158,0.158,0.189,0.189,0.000,0.167,1.000,0.000,0.189,0.000,0.000,0.151,0.144,0.000,0.151,0.000,0.000,0.129,0.000,0.177,0.167,0.250,0.129,0.000,0.289,0.177,0.189,0.177,0.302,0.000,0.177,0.224,0.224,0.158,0.000,0.500,0.000,0.000,0.500,0.158,0.000,0.354,0.224,0.224,0.129,0.000,0.177,0.408,0.000,0.189,0.000,0.177,0.000,0.250,0.177,0.000
0.151,0.000,0.182,0.091,1.000,0.174,0.000,0.000,0.101,0.000,0.084,0.123,0.000,0.151,0.000,0.000,0.000,0.201,0.000,0.000,0.107,0.081,0.000,0.151,0.000,0.101,0.000,0.107,0.123,0.101,0.123,0.000,0.091,0.156,0.000,0.191,0.000,0.000,0.095,0.091,0.228,0.228,1.000,0.107,0.095,0.095,0.114,0.114,0.201,0.101,0.000,1.000,0.000,0.000,0.201,0.091,0.087,0.095,0.000,0.095,1.000,0.156,0.201,0.000,0.101,0.000,0.156,0.101,0.174,0.107,0.114,0.000,0.091,0.101,0.107,0.135,0.135,0.000,0.213,0.000,0.201,0.213,0.000,0.000,0.151,0.107,0.000,0.000,0.156,0.091,0.107,0.000,0.213,0.114,0.123,0.000,0.091,0.000,0.000,0.228
0.189,0.134,0.000,0.000,0.000,0.218,0.189,0.114,0.126,0.114,0.000,0.000,0.120,0.189,0.134,0.120,0.143,0.000,0.143,0.134,0.000,0.101,0.154,0.189,0.154,0.000,0.120,0.000,0.000,0.126,0.154,0.126,0.114,0.098,0.143,0.000,0.114,0.120,0.000,0.114,0.000,0.000,0.000,0.134,0.120,0.120,0.143,0.143,0.000,0.126,0.189,0.000,1.000,0.000,0.000,0.114,0.109,0.000,0.114,0.000,0.000,0.098,0.000,0.134,0.126,0.189,0.098,0.000,0.218,0.134,0.143,0.134,0.114,0.000,0.134,0.169,0.169,0.120,0.000,0.378,0.000,0.000,0.378,0.120,0.000,0.134,0.169,0.169,0.098,0.000,0.134,0.154,0.000,0.143,0.000,0.134,0.000,0.189,0.134,0.000
0.000,0.000,0.107,0.000,0.000,0.000,0.000,0.107,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.112,0.107,0.000,0.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,1.000,0.118,0.107,0.000,0.112,0.000,0.000,0.000,0.000,0.118,0.125,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134
0.167,0.236,0.503,0.101,0.201,0.192,0.000,0.101,0.444,0.000,0.092,0.136,0.000,0.167,0.000,0.000,0.000,0.222,0.000,0.000,0.118,0.089,0.000,0.167,0.000,0.444,0.316,0.118,0.136,0.111,0.000,0.000,0.101,0.086,0.378,0.316,0.101,0.000,0.211,0.101,0.252,0.252,0.201,0.118,0.105,0.105,0.126,0.126,0.222,0.444,0.000,0.201,0.000,0.118,1.000,0.201,0.096,0.211,0.000,0.105,0.201,0.086,0.556,0.118,0.111,0.000,0.086,0.222,0.192,0.118,0.126,0.118,0.101,0.111,0.118,0.149,0.298,0.000,0.236,0.000,0.222,0.236,0.000,0.105,0.167,0.118,0.000,0.000,0.086,0.101,0.118,0.000,0.236,0.126,0.136,0.000,0.101,0.000,0.000,0.504
